file,n,body_tag,f1,f2,f3,f4,identity,packed_offset,packed_size,packed_payload_sha1_8
prosim.xtc,46,0x12,2.8004531860351562,2.800811767578125,,,SEP,16783,907,9ee9d116
prosim.xtc,47,0x15,0.7750557065010071,0.6170799136161804,11940.8125,13830.7353515625,ID06,17690,378,7cbb6edf
prosim.xtc,48,0x15,1.0192307233810425,1.0144927501678467,12236.115234375,13555.203125,ID10,18068,89,2c463540
prosim.xtc,49,0x15,0.6397058963775635,0.6637036800384521,12849.712890625,13769.0380859375,ID04,18157,806,bc5e7d8e
prosim1.xtc,1,0x15,0.8074246048927307,0.5699745416641235,3823.566162109375,2707.49365234375,ID02,2111,250,e634a9c8
prosim1.xtc,2,0x15,0.9086161851882935,0.5551425218582153,4239.48583984375,2689.62939453125,ID09,2361,324,66de9049
prosim1.xtc,3,0x15,0.818823516368866,0.5490196347236633,4718.2939453125,2695.11767578125,ID03,2685,341,2a275bf1
prosim1.xtc,4,0x15,0.7750557065010071,0.6170799136161804,5204.81298828125,2692.735595703125,ID06,3026,378,b27252cf
prosim1.xtc,5,0x15,1.0192307233810425,1.0144927501678467,5500.115234375,2417.202880859375,ID10,3404,89,6c5ba537
prosim1.xtc,6,0x15,0.9086161851882935,0.5551425218582153,6039.48583984375,2689.62939453125,ID09,3493,324,60d6dc56
prosim1.xtc,7,0x15,0.8074246048927307,0.5699745416641235,6523.56591796875,2707.49365234375,ID02,3817,929,72b26105
prosim1.xtc,8,0x15,0.6397058963775635,0.6637036800384521,4088.713134765625,5862.03857421875,ID04,4746,233,342fa973
prosim1.xtc,9,0x15,0.7750557065010071,0.6170799136161804,4529.81298828125,5923.7353515625,ID06,4979,378,bdc9f172
prosim1.xtc,10,0x15,0.7750557065010071,0.6170799136161804,4979.81298828125,5923.7353515625,ID06,5357,378,7eff30e3
prosim1.xtc,11,0x15,0.8508557677268982,0.6103542447090149,5428.6796875,5917.46044921875,ID01,5735,415,8202a774
prosim1.xtc,12,0x15,1.0192307233810425,1.0144927501678467,5725.115234375,5648.203125,ID10,6150,89,e89795c5
prosim1.xtc,13,0x15,1.03125,0.6777609586715698,6219.78125,5872.248046875,ID08,6239,115,e6598dc1
